Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536375,84029E,NULL,1,08-02-2022 08:10,710.8434,60106,Gambia The
536375,22752,NULL,56,08-02-2022 07:20,796.1446,60106,Georgia
536375,21730,NULL,10,08-02-2022 08:20,12.04819,60106,Germany
536376,22114,NULL,3,08-02-2022 12:20,1292.169,60084,Ghana
536376,21733,NULL,1,08-02-2022 08:36,1.204819,60106,Gibraltar
536377,22632,NULL,95,08-02-2022 09:09,5722.892,60106,Greece
536377,22633,NULL,6,08-02-2022 09:09,3253.012,60072,Greenland
536378,22386,NULL,2,09-02-2022 12:35,1084.337,60106,Grenada
536378,85099C,NULL,5,09-02-2022 12:45,6.024096,60072,Guadeloupe
536378,21033,NULL,1,09-02-2022 12:51,602.4096,60085,Guam
536378,20723,NULL,1,23-02-2022 06:30,542.1687,60085,Guatemala
536378,84997B,NULL,223,09-02-2022 12:51,1225.157,60085,Guernsey and Alderney
536378,84997C,NULL,1,23-02-2022 06:30,602.4096,60085,Guinea
536378,21094,NULL,1,09-02-2022 13:02,939.759,60085,Guinea-Bissau
536378,20725,NULL,1,09-02-2022 13:30,542.1687,60085,Guyana
536378,21559,NULL,1,09-02-2022 13:25,722.8916,60085,Haiti
536378,22352,NULL,1,09-02-2022 14:20,506.0241,60064,Heard and McDonald Islands
536378,21212,NULL,200,18-02-2022 05:00,361.4458,60064,Honduras
536378,21975,NULL,1,28-02-2022 05:45,144.5783,60085,Hong Kong S.A.R.
536378,21977,NULL,12,28-02-2022 06:00,1141.301,60064,Hungary
536378,84991,NULL,2,01-03-2022 08:55,108.4337,60064,Iceland
536378,84519A,NULL,10,14-03-2022 06:10,12.04819,60064,India
536378,85183B,NULL,2,14-03-2022 06:15,1012.048,60064,Indonesia
536378,85071B,NULL,2,14-03-2022 09:45,240.9639,60087,Iran
536378,21931,NULL,23,14-03-2022 10:00,1246.988,60081,Iraq
536378,21929,NULL,12,14-03-2022 11:45,109.1566,60064,Ireland
536380,22961,NULL,2,19-03-2022 08:57,1084.337,56063,Israel
536381,22139,NULL,2,19-03-2022 09:18,963.8554,60064,Italy
536381,84854,NULL,2,20-03-2022 09:19,108.4337,60106,Jamaica
536381,22411,NULL,2,19-03-2022 10:15,10.84337,60064,Japan
536381,82567,NULL,1,22-03-2022 10:56,54.21687,60064,Jersey
536381,21672,NULL,1,24-03-2022 05:30,5.421687,60064,Jordan
536381,22774,NULL,2,24-03-2022 11:09,109.8795,60064,Kazakhstan
536381,22771,NULL,1,26-03-2022 05:30,602.4096,60064,Kenya
536381,71270,NULL,1,24-03-2022 11:12,54.21687,60064,Kiribati
536381,22262,NULL,1,01-04-2022 11:35,50.60241,60069,Korea North
536381,22637,NULL,12,04-04-2022 05:30,89.63855,60089,Korea South
536381,21934,NULL,1,04-04-2022 09:10,542.1687,60069,Kuwait
536381,21169,NULL,12,05-04-2022 05:30,650.6024,60087,Kyrgyzstan
536381,21166,NULL,1,05-04-2022 05:36,54.21687,60091,Laos
536381,21175,NULL,12,06-04-2022 05:30,650.6024,60091,Latvia
536381,37444A,NULL,3,06-04-2022 08:31,294.2892,60094,Lebanon
536381,37444C,NULL,1,07-04-2022 06:04,0.012048,59956,Lesotho
536381,22086,NULL,1,09-04-2022 11:30,506.0241,60091,Liberia
536381,22083,NULL,1,07-04-2022 08:21,542.1687,60087,Libya
536381,84971S,NULL,2,07-04-2022 11:29,108.4337,59809,Liechtenstein
536381,71270,NULL,2,08-04-2022 06:44,1084.337,60091,Lithuania
536381,47580,NULL,2,08-04-2022 06:47,1898.482,60089,Luxembourg
536381,22261,NULL,2,08-04-2022 07:16,14.21687,60091,Macau S.A.R.
536381,84832,NULL,2,08-04-2022 07:17,9.277108,59809,Macedonia
536381,22644,NULL,2,08-04-2022 07:18,23.53012,60124,Madagascar
536381,21533,NULL,1,08-04-2022 07:30,1.204819,60123,Malawi
536381,21557,NULL,3,08-04-2022 07:35,23.97831,60089,Malaysia
536381,15056BL,NULL,8,08-04-2022 07:39,11.08434,60121,Maldives
536381,15056N,NULL,3,08-04-2022 07:44,3.614458,60120,Mali
536381,22646,NULL,1,08-04-2022 09:03,0,59809,Malta
536381,22176,NULL,1,08-04-2022 09:19,542.1687,59809,Man (Isle of)
536381,22438,NULL,2,09-04-2022 14:02,176.2892,59809,Marshall Islands
536381,21731,NULL,2,10-04-2022 13:30,109.8795,59809,Martinique
536381,22778,NULL,12,11-04-2022 12:35,65.0624,60089,Mauritania
536381,22719,NULL,1,12-04-2022 11:30,12.04819,60127,Mauritius
536381,21523,NULL,1,13-04-2022 03:06,639.759,60049,Mayotte
C536379,D,NULL,2,13-04-2022 12:30,7.228916,60128,Mexico
536382,10002,NULL,1,13-04-2022 03:25,2.409639,60130,Micronesia
536382,21912,NULL,1,13-04-2022 03:29,7.228916,60131,Moldova
536382,21832,NULL,1,16-04-2022 07:47,8.674699,60129,Monaco
536382,22411,NULL,1,17-04-2022 05:30,120.4819,60133,Mongolia
536382,22379,NULL,1,03-05-2022 13:55,240.9639,60130,Montserrat
536382,22381,NULL,1,04-05-2022 05:30,639.759,60047,Morocco
536382,22798,NULL,5,03-05-2022 14:00,6.024096,60127,Mozambique
536382,22726,NULL,16,04-05-2022 09:52,639.9759,60134,Myanmar
536382,22926,NULL,1,05-05-2022 05:30,9.638554,60130,Namibia
536382,22839,NULL,1,06-05-2022 11:58,120.4819,60051,Nauru
536382,22838,NULL,1,06-05-2022 11:59,120.4819,60082,Nepal
536382,22783,NULL,5,10-05-2022 10:21,585.8169,60139,Netherlands Antilles
C536383,35004C,NULL,1,12-05-2022 06:30,180.7229,60144,Netherlands The
536384,82484,NULL,1,13-05-2022 08:45,1.44578,60098,New Caledonia
536384,84755,NULL,2,14-05-2022 05:30,24.09639,60098,New Zealand
536384,22464,NULL,3,14-05-2022 10:34,722.8916,60098,Nicaragua

