Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,
11,5,Call,Organic Search,No,No,0,8,134,8,Call Received,Armenia,Sanghvi Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Akkarampalle,02.Medium,02.Medium,15,14,No,Yes,Call Received,
12,4,Call,Direct Traffic,No,No,0,8,120,2.67,Call Received,Aruba,Aarvee Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Akkayapalle,02.Medium,01.High,14,17,No,Yes,Call Received,
13,23790,Call,Organic Search,No,No,0,11,122,11,Call Received,Australia,Shree Semiconductors,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Akkireddipalem,01.High,02.Medium,16,16,No,No,Call Received,
14,23790,Call,Organic Search,No,No,0,5,100,5,Call Received,Austria,Prompt Data Products Pvt Ltd,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Alampur,02.Medium,01.High,14,17,No,Yes,Call Received,
15,23792,Call,Direct Traffic,No,No,0,1,1020,1,Call Received,Azerbaijan,Vivid Solutions,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Amalapuram,01.High,01.High,16,17,No,No,Call Received,
16,23792,Call,Organic Search,No,No,0,6,141,6,Call Received,Bahamas The,Nexus  It Care,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Amudalavalasa,02.Medium,02.Medium,14,15,No,No,Call Received,
17,56061,Call,Olark Chat,No,No,0,0,1020,0,Call Received,Bahrain,A Niche Solutions,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Amur,01.High,02.Medium,17,15,No,No,Call Received,
18,56061,Call,Referral Sites,No,No,0,6,240,6,Call Received,Bangladesh,Rajshri Systems,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Anakapalle,02.Medium,02.Medium,13,13,No,No,Call Received,
19,56061,Call,Google,No,No,0,6,150,3,Call Received,Barbados,Nahata Data Products Pvt Ltd,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Anantapur,02.Medium,01.High,15,18,No,No,Call Received,
20,56061,Call,Organic Search,No,No,0,3,110,3,Call Received,Belarus,ACE Distributions,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Andole,02.Medium,02.Medium,14,15,No,No,Call Received,
21,23785,Call,Google,No,No,0,1,600,1,Call Received,Belgium,Vision Unlimited,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Atmakur,02.Medium,01.High,13,17,No,No,Call Received,
22,56062,SMS,Google,No,No,0,4,10,1.33,SMS Open,Belize,O Three Systems & Solutions,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Attili,02.Medium,02.Medium,15,16,No,No,SMS Open,
23,56062,SMS,Google,No,No,0,1,10,1,SMS Open,Benin,Sun Signs Systems,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Avanigadda,02.Medium,01.High,15,20,No,No,SMS Open,
24,56062,SMS,Google,No,No,0,4,10,4,SMS Open,Bermuda,Supreme Glass And Aluminium,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Badepalli,02.Medium,01.High,14,18,No,No,SMS Open,
25,378,SMS,Google,No,No,0,6,10,1.5,SMS Open,Bhutan,Triune Marketing India Private Limited,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Badvel,02.Medium,01.High,14,18,No,Yes,SMS Open,
26,56062,SMS,Google,No,No,0,3,10,3,SMS Open,Bolivia,Micro Peripherals & Distribution,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Balapur,02.Medium,02.Medium,14,16,No,No,SMS Open,
27,56062,SMS,Organic Search,No,No,0,4,10,2,SMS Open,Bosnia and Herzegovina,Gizmotron,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Bandarulanka,03.Low,01.High,11,18,No,Yes,SMS Open,
28,56066,SMS,Google,No,No,1,6,10,6,SMS Open,Botswana,G Tech Solutions,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Banganapalle,02.Medium,01.High,15,19,No,No,SMS Open,
29,56066,SMS,Direct Traffic,No,No,1,5,10,5,SMS Open,Bouvet Island,Choice Solutions Ltd,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bapatla,02.Medium,01.High,13,18,No,No,SMS Open,
30,56067,SMS,Google,No,No,1,3,10,3,SMS Open,Brazil,Megahertz Systems Pvt Ltd,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bapulapadu,01.High,01.High,16,18,No,No,SMS Open,
31,56067,SMS,Direct Traffic,No,No,1,7,10,3.5,SMS Open,British Indian Ocean Territory,Trinity Infotech,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Belampalli,02.Medium,01.High,15,18,No,Yes,SMS Open,
32,56068,SMS,Google,No,No,1,3,10,1.5,SMS Open,Brunei,Arrow Systems,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bestavaripeta,02.Medium,02.Medium,13,15,No,No,SMS Open,
33,56069,SMS,Referral Sites,No,No,0,4,10,2,SMS Open,Bulgaria,Side Walk Systems,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Betamcherla,02.Medium,02.Medium,15,13,No,No,SMS Open,
34,56019,SMS,Organic Search,No,No,1,3,10,1.5,SMS Open,Burkina Faso,C-Tech,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bhattiprolu,03.Low,02.Medium,12,15,No,No,SMS Open,
35,56019,SMS,Organic Search,No,No,1,4,10,2,SMS Open,Burundi,Shankheshwar Infotech,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bhimavaram,02.Medium,01.High,15,17,No,Yes,SMS Open,
36,56019,SMS,Referral Sites,No,No,1,3,10,3,SMS Open,Cambodia,Regent,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bhimunipatnam,02.Medium,02.Medium,14,15,No,No,SMS Open,
37,56019,SMS,Google,No,No,1,4,10,4,SMS Open,Cameroon,Techno Craft India,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bobbili,03.Low,01.High,12,18,No,No,SMS Open,
38,56073,SMS,Google,No,No,1,5,10,5,SMS Open,Canada,Sainath Associates,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bombuflat,02.Medium,01.High,13,20,No,No,SMS Open,
39,56071,SMS,Google,No,No,1,2,10,2,SMS Open,Cape Verde,Signet Old Electronic Scraps,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bommuru,02.Medium,02.Medium,14,15,No,No,SMS Open,
40,56076,SMS,Google,No,No,1,4,10,4,SMS Open,Cayman Islands,Royal Leather Enterprises,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Bugganipalle,02.Medium,01.High,14,19,No,No,SMS Open,
41,56076,SMS,Direct Traffic,No,No,1,3,10,3,SMS Open,Central African Republic,Big Apple Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Challapalle,02.Medium,02.Medium,14,15,No,No,SMS Open,
42,56076,SMS,Organic Search,No,No,1,7,10,7,SMS Open,Chad,Big Power Solution,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chandur,02.Medium,01.High,13,18,No,Yes,SMS Open,
43,56067,SMS,Google,No,No,1,5,10,5,SMS Open,Chile,R V Tech,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chatakonda,02.Medium,02.Medium,14,15,No,No,SMS Open,
44,56076,SMS,Google,No,No,1,5,10,5,SMS Open,China,Asian Computers,Online Search,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chemmumiahpet,02.Medium,01.High,13,18,No,No,SMS Open,
45,55996,SMS,Direct Traffic,No,No,1,6,10,3,SMS Open,Christmas Island,Onsite Laptop And Computer Solution,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chidiga,03.Low,01.High,10,18,No,Yes,SMS Open,
46,56077,SMS,Google,No,No,1,4,10,2,SMS Open,Cocos (Keeling) Islands,Netcom Solutions,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chilakaluripet,02.Medium,01.High,13,18,No,No,SMS Open,
47,56080,Email,Direct Traffic,No,No,1,2,15,2,Email Open,Colombia,Inoctas Technology,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chimakurthy,02.Medium,01.High,15,20,No,Yes,Email Open,
48,60089,Email,Olark Chat,No,No,1,0,15,0,Email Open,Comoros,Paradise It World,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chinagadila,01.High,02.Medium,17,15,No,No,Email Open,
49,60091,Email,Google,No,No,1,6,15,6,Email Open,Congo,Sanjivani Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chinagantyada,03.Low,02.Medium,12,15,No,No,Email Open,
50,60092,Email,Olark Chat,No,No,1,0,15,0,Email Open,Congo The Democratic Republic Of The,Rane Computers,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chinnachawk,01.High,02.Medium,17,15,No,No,Email Open,
51,60093,Email,Olark Chat,No,No,1,0,15,0,Email Open,Cook Islands,Tanvi Infotech,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chintalavalasa,02.Medium,02.Medium,15,16,No,No,Email Open,
52,60094,Email,Google,No,No,1,5,15,5,Email Open,Costa Rica,Star It Solution,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chipurupalle,01.High,01.High,17,18,No,No,Email Open,
53,56080,Email,Organic Search,No,No,3,6,15,2,Email Open,Cote D'Ivoire (Ivory Coast),R S Computers Systems,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Chirala,02.Medium,02.Medium,13,15,No,Yes,Email Open,
54,60095,Email,Google,No,No,1,6,15,1.5,Email Open,Croatia (Hrvatska),Honesty Laptop Center,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chittoor,01.High,02.Medium,16,15,No,No,Email Open,
55,60094,Email,Organic Search,No,No,0,7,15,2.33,Email Open,Cuba,Valuable Infosys,,,,No,No,No,No,No,No,No,No,Ringing,High in Relevance,No,No,Potential,Chodavaram,02.Medium,02.Medium,13,15,No,No,Email Open,
56,60096,Email,Organic Search,No,No,1,2,15,2,Email Open,Cyprus,Lucky Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Choutuppal,02.Medium,02.Medium,15,15,No,No,Email Open,
57,60096,Email,Referral Sites,No,No,1,13,15,13,Email Open,Czech Republic,A To Z IT Solution,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Chunchupalle,02.Medium,02.Medium,15,13,No,No,Email Open,
58,60096,Email,Referral Sites,No,No,1,8,15,8,Email Open,Denmark,Orbit Technology,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Cuddapah,01.High,02.Medium,16,15,No,No,Email Open,
59,60096,Email,Organic Search,No,No,0,17,15,8.5,Email Open,Djibouti,Laptops Mumbai.com Lamington Road H O,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Cumbum,02.Medium,01.High,14,18,No,Yes,Email Open,
60,60096,Email,Referral Sites,No,No,0,11,15,5.5,Email Open,Dominica,Cygnus Technologies Pvt Ltd,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Darnakal,03.Low,02.Medium,11,13,No,Yes,Email Open,
61,60097,Email,Google,No,No,1,4,15,4,Email Open,Dominican Republic,Z T Enterprise,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Dasnapur,02.Medium,02.Medium,13,16,No,No,Email Open,
62,60096,Email,Olark Chat,No,No,1,0,15,0,Email Open,East Timor,Real It Solution,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Dauleshwaram,02.Medium,02.Medium,14,15,No,No,Email Open,
63,1,Email,Organic Search,No,No,1,7,15,3.5,Email Open,Ecuador,Excel Computer,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Dharmavaram,02.Medium,01.High,15,18,No,No,Email Open,
64,1,Email,Olark Chat,No,No,0,0,15,0,Email Open,Egypt,Astro Smart Solutions,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Dhone,02.Medium,02.Medium,15,15,No,No,Email Open,
65,60096,Email,Direct Traffic,No,No,1,4,15,4,Email Open,El Salvador,Sumit Ramesh Luthra,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Dommara Nandyal,03.Low,01.High,12,18,No,Yes,Email Open,
66,60096,Email,Google,No,No,0,1,15,1,Email Open,Equatorial Guinea,A C Comp Services,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Dowlaiswaram,02.Medium,02.Medium,15,14,No,No,Email Open,
67,60096,Email,Google,No,No,1,3,15,1.5,Email Open,Eritrea,Nakoda Netcomm,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,East Godavari Dist.,02.Medium,01.High,15,18,No,No,Email Open,
68,60096,Email,Olark Chat,No,No,0,0,15,0,Email Open,Estonia,Gururaj Computers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Eddumailaram,02.Medium,02.Medium,15,16,No,No,Email Open,
69,60096,Email,Olark Chat,No,No,0,0,15,0,Email Open,Ethiopia,Ruchi Computer,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Edulapuram,03.Low,02.Medium,12,14,No,No,Email Open,
70,60096,Email,Olark Chat,No,No,3,0,15,0,Email Open,External Territories of Australia,Excellent Solutions,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Ekambara kuppam,02.Medium,02.Medium,15,15,No,No,Email Open,
71,60096,Email,Direct Traffic,No,No,3,1,15,1,Email Open,Falkland Islands,Quik Care,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Eluru,01.High,01.High,16,19,No,Yes,Email Open,
72,60096,Email,Direct Traffic,No,No,3,4,15,4,Email Open,Faroe Islands,Amol Infotech,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Enikapadu,02.Medium,01.High,13,18,No,No,Email Open,
73,60096,Email,Referral Sites,No,No,1,3,15,3,Email Open,Fiji Islands,JAI Engineers,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Fakirtakya,02.Medium,02.Medium,13,15,No,Yes,Email Open,
74,60096,Email,Organic Search,No,No,1,6,15,6,Email Open,Finland,Optima Technologies ( Factory),Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Farrukhnagar,02.Medium,02.Medium,14,15,No,No,Email Open,
75,60096,Email,Direct Traffic,No,No,1,5,15,1.67,Email Open,France,RS Enterprises,,,,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gaddiannaram,02.Medium,01.High,13,17,No,Yes,Email Open,
76,60096,Email,Direct Traffic,No,No,3,2,15,2,Email Open,French Guiana,Zplus Icards solution,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Gajapathinagaram,03.Low,01.High,12,17,No,Yes,Email Open,
77,60096,Email,Google,No,No,1,6,15,3,Email Open,French Polynesia,Royal Laser Tech,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gajularega,02.Medium,01.High,14,20,No,No,Email Open,
78,60098,Email,Welingak Website,No,No,1,,15,,Email Open,French Southern Territories,Versace Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gajuvaka,02.Medium,02.Medium,14,15,No,No,Email Open,
79,60098,Email,Referral Sites,No,No,1,4,15,4,Email Open,Gabon,Aakar Laser Cutting,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gannavaram,03.Low,02.Medium,10,15,No,No,Email Open,
80,60099,Email,Reference,No,No,1,,15,,Email Open,Gambia The,Nickunj Eximp Entp Pvt Ltd,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Garacharma,02.Medium,02.Medium,14,16,No,No,Email Open,
81,60098,Email,Google,No,No,0,2,15,2,Email Open,Georgia,Parallel Creation,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Garimellapadu,02.Medium,02.Medium,14,14,No,No,Email Open,
82,60099,Email,Welingak Website,No,No,1,,15,,Email Open,Germany,The Perfect Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Giddalur,02.Medium,02.Medium,14,15,No,No,Email Open,
83,60099,Email,Olark Chat,No,No,0,0,15,0,Email Open,Ghana,Saptshakti Laser Sawing & Bruting,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Godavarikhani,02.Medium,02.Medium,15,16,No,No,Email Open,
84,60099,Email,Olark Chat,No,No,3,0,15,0,Email Open,Gibraltar,N S R Creation,,,,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Gopalapatnam,01.High,02.Medium,17,15,No,No,Email Open,
85,60099,Email,Google,No,No,1,3,15,3,Email Open,Greece,Navjeevan Acro Fine Laser,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gopalur,01.High,02.Medium,16,15,No,No,Email Open,
86,60099,Email,Referral Sites,No,No,1,3,15,3,Email Open,Greenland,Yaam Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Gorrekunta,02.Medium,02.Medium,14,13,No,No,Email Open,
87,60099,Email,Referral Sites,No,No,3,4,15,4,Email Open,Grenada,Shreeji Laser Tech,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Gudivada,02.Medium,02.Medium,14,13,No,No,Email Open,
88,60091,Call,Direct Traffic,No,No,0,6,300,3,Call Received,Guadeloupe,Bhoomi Enterprises,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Gudur,02.Medium,01.High,15,18,No,Yes,Call Received,
89,60097,Call,Reference,No,No,3,,420,,Call Received,Guam,Relibale CNC & Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will Revert,High in Relevance,No,No,Potential,Guntakal,02.Medium,01.High,14,20,No,No,Call Received,
90,60105,Call,Organic Search,No,No,2,2,40,2,Call Received,Guatemala,Sarang Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Guntur,02.Medium,02.Medium,13,14,No,Yes,Call Received,
91,60084,Call,Organic Search,No,No,2,3,60,3,Call Received,Guernsey and Alderney,Aditi Laser Integrator,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Guti,02.Medium,02.Medium,15,15,No,No,Call Received,
92,60084,Call,Olark Chat,No,No,2,6,60,1.5,Call Received,Guinea,Mazhar Creation,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Hindupur,02.Medium,02.Medium,15,14,No,Yes,Call Received,
93,60087,Call,Google,No,No,0,4,60,4,Call Received,Guinea-Bissau,Accura Laser,Other,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Hukumpeta,02.Medium,01.High,15,18,No,No,Call Received,
94,60099,Call,Google,No,No,2,9,60,4.5,Call Received,Guyana,Naina Laser,Word Of Mouth,,,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Ichchapuram,02.Medium,02.Medium,13,15,No,No,Call Received,
95,60106,Call,Direct Traffic,No,No,2,3,60,3,Call Received,Haiti,Baba Arts,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Isnapur,03.Low,01.High,9,18,No,Yes,Call Received,
96,60072,Email,Direct Traffic,No,No,0,4,15,2,Email Open,Heard and McDonald Islands,Sharp Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Jaggayyapeta,03.Low,01.High,12,17,No,No,Email Open,
97,60100,Call,Google,No,No,2,2,60,2,Call Received,Honduras,Scantech Laser Wave Pvt Ltd,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested,Might be,No,No,Potential,Jallaram Kamanpur,03.Low,02.Medium,9,15,No,No,Call Received,
98,60090,Call,Olark Chat,No,No,0,0,60,0,Call Received,Hong Kong S.A.R.,Laser Cut,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Jammalamadugu,02.Medium,02.Medium,15,15,No,No,Call Received,
99,60123,SMS,Google,No,No,0,5,10,5,Call Received,Hungary,Ela Decor,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Jangampalli,01.High,02.Medium,16,16,No,No,Call Received,
100,60108,Call,Direct Traffic,No,No,0,5,60,5,Call Received,Iceland,Prismatic Signage,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Jarjapupeta,02.Medium,01.High,15,20,No,Yes,Call Received,
101,60127,Call,Referral Sites,No,No,0,7,30,3.5,Call Received,India,Hi Tech Laser,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kadiri,02.Medium,02.Medium,14,13,No,No,Call Received,
102,60127,Call,Olark Chat,No,No,0,0,30,0,Call Received,Indonesia,Inter Tech Consultants,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Kaikalur,02.Medium,02.Medium,15,15,No,No,Call Received,
